Genes,C_S27,C_S28,C_S31,C_S43,C_S48,N_S29,N_S30,N_S37,N_S38,N_S46
MYH4,0,0,1.330235356,0,1.101344721,7.59219961,8.363148819,0,2.151515539,1.956309745
LINC01595,2.157668034,3.625286439,4.657124944,1.927654992,4.889407629,4.472845053,9.460345836,9.28135296,12.17089533,5.762683496
X,1.44941095,0.675228154,0,0,1.718566211,2.944197503,1.754674666,2.888431553,6.720222761,4.750934802
CD300LG,1.44941095,1.133365303,0.813293557,3.434997945,1.718566211,5.855990251,6.837722241,0,4.582131526,5.600841581
CDH15,1.44941095,1.480548388,3.334371117,0,0,5.011236573,3.686221561,3.406941377,4.582131526,6.964274683
X1,3.713339129,3.758498799,4.261022469,4.155925617,3.990237494,3.847290054,8.527664,5.833919475,6.76658021,7.79032944
GPR17,1.44941095,2.529769554,1.710020785,1.927654992,2.149466681,3.847290054,3.985558568,4.447256018,5.441714529,5.873163903
SLCO1A2,4.554745274,4.146637302,5.163178638,3.767616079,5.400525976,5.43998865,9.566941043,4.218222238,7.632234635,6.60737181
RUNX1-AS1,0,2.529769554,3.334371117,4.155925617,2.480829507,5.827919181,5.651652166,2.536920131,7.042554856,4.965652597
GPR162,2.630614152,3.880443936,3.221784767,2.724372277,5.320071535,5.324189922,6.931914768,5.358574294,4.436805221,7.23644859
S100A12,5.839364309,5.725901661,8.99607239,11.59208404,1.101344721,3.311594798,3.54661788,2.071187749,4.649649886,4.587691771
RNASE2,4.194532496,4.946846134,5.439763861,7.704061867,1.718566211,1.692497606,0,2.071187749,2.151515539,0
S100A9,10.24397803,9.327806316,11.93872071,14.67213896,6.838057209,7.190716113,6.973397312,7.904322804,7.377308154,9.885487853
LCN2,7.422065405,9.137585562,7.101180692,10.73526039,4.647110843,5.324189922,3.813500241,5.113717697,4.187032402,5.264868524
S100A8,8.822672564,8.214500032,11.73298978,13.77028578,6.301900672,6.582957922,5.489552231,8.785680308,7.139684397,8.449406071
CCDC13-AS2,5.223046767,2.529769554,2.966239616,7.403112544,2.149466681,1.692497606,0.672312668,2.536920131,2.483000618,1.287082381
TRIM9,2.413435154,5.438835067,8.289899019,1.927654992,3.765641265,1.692497606,2.189588396,3.17085645,2.151515539,3.470196169
X2,4.500615044,1.480548388,7.117006762,5.799218996,2.750119629,0,0,3.17085645,1.720407685,3.269338742
IL2RA,4.96771697,5.105324399,4.69978531,5.380704054,3.499515863,2.450040777,1.129118832,2.071187749,3.175290332,0
CLGN,9.560018199,4.528785305,7.650374487,7.644647928,7.923090756,3.730842901,5.470363235,4.088449062,6.283410429,5.209785113
